ward_Name,distance,Total_population,male_population,female_population
Kempegowda_nagar,14.5092,42913,22239,20674
Chowdeswari_Ward,3.3692,42775,22369,20406
Atturu,8.2692,42569,22772,19797
Yelahanka ,4.6869,43243,22475,20768
Kogilu,17.1989,40396,21229,19167
Jakkuru,10.653,38616,19937,18679
Thanisandra,5.8922,37308,19765,17543
Amrutahalli,3.572,36446,19192,17254
Hebbal ,6.3379,38273,20086,18187
Byatarayanapura,9.0439,37010,19068,17942
Kodigehalli,2.342,40183,21283,18900
Bommasandra,4.1874,38279,21130,17149
Vidyaranyapura,2.2938,35174,17812,17362
Kuvempu Nagar,7.1444,32614,16744,15870
Kammagondanahalli,5.7196,42954,22445,20509
Mallasandra,3.4382,42930,22818,20112
Chikkasandra,3.9588,37486,19694,17792
Bagalakunte,1.7646,42171,22101,20070
TDasarahalli,1.22,39062,20874,18188
Nalagadarenahalli,3.0018,42194,23223,18971
Chokkasandra,1.9723,41904,23117,18787
Peenya ,4.5138,41867,23097,18770
Rajagopal Nagar,0.9717,42081,22640,19441
Hegganahalli,1.6513,39277,21111,18166
Sunkadakatte,1.1668,37573,20294,17279
Dodda Bidarakallu,8.0221,36430,19378,17052
Lingadheeranahalli,5.4019,41562,21890,19672
Herohalli,4.1356,37996,20048,17948
Ullalu,6.9131,33366,17484,15882
Nagadevanahalli,3.5525,33053,17117,15936
Bande Mutt,6.5188,32762,16807,15955
Kengeri,5.2142,34251,17831,16420
Hemmigepura,31.0968,36490,19350,17140
Jp Park,1.066,42026,21754,20272
Yeshwanthpura,1.5373,39295,20171,19124
Jalahalli,5.1693,37959,20285,17674
Peenya,5.1805,35826,18528,17298
LaxmideviNagar,1.5366,41919,22080,19839
Laggere,0.9472,38489,20169,18320
ChowdeshwariNagar,1.1112,34976,18268,16708
Kottegepalya,3.2775,32666,17253,15413
Srigandhadakaval,3.3627,41260,21647,19613
Malathalli,4.2221,37700,19690,18010
JnanaBharathiWard,9.7103,35459,18254,17205
RajarajeshwariNagar,7.9119,40360,20693,19667
RajivNagar,1.4949,33852,17446,16406
Puneet Rajkumar,0.9736,35944,18654,17290
Mahalakshmipuram,0.8486,42461,21890,20571
Nagapura,2.5306,43143,21892,21251
NalvadiKrishnaRajaWadiyar,0.8561,42759,22287,20472
Shankar Matt,0.6794,34993,18045,16948
Shakthi Ganapathi Nagar,0.735,37861,19623,18238
VrisabhavathiNagar,0.8534,43059,22877,20182
Mattikere,0.8767,33878,18001,15877
Malleswaram,0.7971,38120,19676,18444
AramaneNagara,7.4662,34185,17400,16785
RajamahalGuttahalli,0.7705,34092,16990,17102
KaduMalleshwarWard,2.6449,33214,16216,16998
SubramanyaNagar,0.6546,36860,18670,18190
