id,name,area,population,male_population,female_population,sc_population,st_population,assembly_constituency_id,assembly_constituency_name,parliamentary_constituency_id,parliamentary_constituency_name
1,Kempegowda Ward,14.5092,42913,22239,20674,4047,1426,150,Yelahanka,27,Chikballapur
2,Chowdeswari Ward,3.3692,42775,22369,20406,4238,917,150,Yelahanka,27,Chikballapur
3,Atturu,8.2692,42569,22772,19797,4878,1404,150,Yelahanka,27,Chikballapur
4,Yelahanka Satellite Town,4.6869,43243,22475,20768,6393,1084,150,Yelahanka,27,Chikballapur
5,Kogilu,17.1989,40396,21229,19167,4943,778,152,Byatarayanapura,24,Bangalore North
6,Jakkuru,10.653,38616,19937,18679,4589,832,152,Byatarayanapura,24,Bangalore North
7,Thanisandra,5.8922,37308,19765,17543,3063,1012,152,Byatarayanapura,24,Bangalore North
8,Amrutahalli,3.572,36446,19192,17254,3441,1227,152,Byatarayanapura,24,Bangalore North
9,Hebbal Kempapura,6.3379,38273,20086,18187,3224,1136,152,Byatarayanapura,24,Bangalore North
10,Byatarayanapura,9.0439,37010,19068,17942,2630,1321,152,Byatarayanapura,24,Bangalore North
11,Kodigehalli,2.342,40183,21283,18900,4595,876,152,Byatarayanapura,24,Bangalore North
12,Dodda Bommasandra,4.1874,38279,21130,17149,5771,701,152,Byatarayanapura,24,Bangalore North
13,Vidyaranyapura,2.2938,35174,17812,17362,2835,393,152,Byatarayanapura,24,Bangalore North
14,Kuvempu Nagar,7.1444,32614,16744,15870,8063,1124,152,Byatarayanapura,24,Bangalore North
15,Kammagondanahalli,5.7196,42954,22445,20509,8843,1166,155,Dasarahalli,24,Bangalore North
16,Mallasandra,3.4382,42930,22818,20112,5400,939,155,Dasarahalli,24,Bangalore North
17,Chikkasandra,3.9588,37486,19694,17792,2612,1014,155,Dasarahalli,24,Bangalore North
18,Bagalakunte,1.7646,42171,22101,20070,2552,1405,155,Dasarahalli,24,Bangalore North
19,T Dasarahalli,1.22,39062,20874,18188,2598,771,155,Dasarahalli,24,Bangalore North
20,Nalagadarenahalli,3.0018,42194,23223,18971,2610,1351,155,Dasarahalli,24,Bangalore North
21,Chokkasandra,1.9723,41904,23117,18787,2370,1006,155,Dasarahalli,24,Bangalore North
22,Peenya Industrial Area,4.5138,41867,23097,18770,3796,1266,155,Dasarahalli,24,Bangalore North
23,Rajagopal Nagar,0.9717,42081,22640,19441,4211,1223,155,Dasarahalli,24,Bangalore North
24,Hegganahalli,1.6513,39277,21111,18166,2137,789,155,Dasarahalli,24,Bangalore North
25,Sunkadakatte,1.1668,37573,20294,17279,1875,737,155,Dasarahalli,24,Bangalore North
26,Dodda Bidarakallu,8.0221,36430,19378,17052,3741,2082,153,Yeshvanthapura,24,Bangalore North
27,Lingadheeranahalli,5.4019,41562,21890,19672,2875,1386,153,Yeshvanthapura,24,Bangalore North
28,Herohalli,4.1356,37996,20048,17948,2653,714,153,Yeshvanthapura,24,Bangalore North
29,Ullalu,6.9131,33366,17484,15882,3801,1110,153,Yeshvanthapura,24,Bangalore North
30,Nagadevanahalli,3.5525,33053,17117,15936,3254,516,153,Yeshvanthapura,24,Bangalore North
31,Bande Mutt,6.5188,32762,16807,15955,3508,907,153,Yeshvanthapura,24,Bangalore North
